userId,title,poster_url
1,Three Colors: Red (Trois couleurs: Rouge) (1994),https://image.tmdb.org/t/p/w500//7vIpCkgGEfk5LZwm78nMxswLJRH.jpg
1,Blade Runner (1982),https://image.tmdb.org/t/p/w500//3TUOhZhM5GCYIbxwFO3chpZ0DHx.jpg
1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),https://image.tmdb.org/t/p/w500//tqnUJyeirufO0q29PoSPaCpB27E.jpg
1,"Godfather, The (1972)",https://image.tmdb.org/t/p/w500//jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg
1,Rear Window (1954),https://image.tmdb.org/t/p/w500//pK9la4Y3WfcU3VJwcxt6sh1wH0T.jpg
2,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),https://image.tmdb.org/t/p/w500//tqnUJyeirufO0q29PoSPaCpB27E.jpg
2,"Third Man, The (1949)",https://via.placeholder.com/500x750?text=No+Image
2,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),https://image.tmdb.org/t/p/w500//jX3wGBVoYoAY3IixBpwYk1fjT4z.jpg
2,Cool Hand Luke (1967),https://via.placeholder.com/500x750?text=No+Image
2,"Shining, The (1980)",https://via.placeholder.com/500x750?text=No+Image
3,"Shining, The (1980)",https://via.placeholder.com/500x750?text=No+Image
3,Kiss Kiss Bang Bang (2005),https://via.placeholder.com/500x750?text=No+Image
3,Spirited Away (Sen to Chihiro no kamikakushi) (2001),https://image.tmdb.org/t/p/w500//ffGpsolcNX9oJZvJinQwFhePtAD.jpg
3,Finding Nemo (2003),https://via.placeholder.com/500x750?text=No+Image
3,Fight Club (1999),https://image.tmdb.org/t/p/w500//lJbT99nN3jEe23EfQvmlSh6EQ2b.jpg
4,2001: A Space Odyssey (1968),https://image.tmdb.org/t/p/w500//uSppbnKDyeoahsW7GSVGpYf455W.jpg
4,Total Recall (1990),https://via.placeholder.com/500x750?text=No+Image
4,Apocalypse Now (1979),https://via.placeholder.com/500x750?text=No+Image
4,Aliens (1986),https://via.placeholder.com/500x750?text=No+Image
4,Evil Dead II (Dead by Dawn) (1987),https://via.placeholder.com/500x750?text=No+Image
5,Ghost in the Shell (Kôkaku kidôtai) (1995),https://via.placeholder.com/500x750?text=No+Image
5,Apocalypse Now (1979),https://via.placeholder.com/500x750?text=No+Image
5,Lawrence of Arabia (1962),https://via.placeholder.com/500x750?text=No+Image
5,"Lord of the Rings: The Fellowship of the Ring, The (2001)",https://image.tmdb.org/t/p/w500//wCsPsveFq4IQTL3IGGJYu7NkmAd.jpg
5,Cinema Paradiso (Nuovo cinema Paradiso) (1989),https://via.placeholder.com/500x750?text=No+Image
6,Casablanca (1942),https://image.tmdb.org/t/p/w500//oODAwa2AK3fXvK93GCbq7dFLZPi.jpg
6,Dog Day Afternoon (1975),https://via.placeholder.com/500x750?text=No+Image
6,Lawrence of Arabia (1962),https://via.placeholder.com/500x750?text=No+Image
6,"Princess Bride, The (1987)",https://via.placeholder.com/500x750?text=No+Image
6,"Sting, The (1973)",https://via.placeholder.com/500x750?text=No+Image
7,Fight Club (1999),https://image.tmdb.org/t/p/w500//lJbT99nN3jEe23EfQvmlSh6EQ2b.jpg
7,Fear and Loathing in Las Vegas (1998),https://image.tmdb.org/t/p/w500//lHyetXLYdk1TEiJmrlkFXnpsq5z.jpg
7,Rear Window (1954),https://image.tmdb.org/t/p/w500//pK9la4Y3WfcU3VJwcxt6sh1wH0T.jpg
7,Raging Bull (1980),https://via.placeholder.com/500x750?text=No+Image
